Country,Year,Series,Value
Cayman Islands,2010,GDP in constant 2015 prices (millions of US dollars),4300.00
Cayman Islands,2015,GDP in constant 2015 prices (millions of US dollars),4708.00
Cayman Islands,2020,GDP in constant 2015 prices (millions of US dollars),5157.00
Cayman Islands,2021,GDP in constant 2015 prices (millions of US dollars),5364.00
Cayman Islands,2022,GDP in constant 2015 prices (millions of US dollars),5471.00
Cayman Islands,1995,GDP real rates of growth (percent),4.80
Cayman Islands,2005,GDP real rates of growth (percent),6.50
Cayman Islands,2010,GDP real rates of growth (percent),-2.70
Cayman Islands,2015,GDP real rates of growth (percent),2.80
Cayman Islands,2020,GDP real rates of growth (percent),-5.10
Cayman Islands,2021,GDP real rates of growth (percent),4.00
Cayman Islands,2022,GDP real rates of growth (percent),2.00
Central African Republic,1995,GDP in current prices (millions of US dollars),1167.00
Central African Republic,2005,GDP in current prices (millions of US dollars),1413.00
Central African Republic,2010,GDP in current prices (millions of US dollars),2141.00
Central African Republic,2015,GDP in current prices (millions of US dollars),1695.00
Central African Republic,2020,GDP in current prices (millions of US dollars),2325.00
Central African Republic,2021,GDP in current prices (millions of US dollars),2517.00
Central African Republic,2022,GDP in current prices (millions of US dollars),2396.00
Central African Republic,1995,GDP per capita (US dollars),356.00
Central African Republic,2005,GDP per capita (US dollars),336.00
Central African Republic,2010,GDP per capita (US dollars),459.00
Central African Republic,2015,GDP per capita (US dollars),352.00
Central African Republic,2020,GDP per capita (US dollars),435.00
Central African Republic,2021,GDP per capita (US dollars),461.00
Central African Republic,2022,GDP per capita (US dollars),429.00
Central African Republic,1995,GDP in constant 2015 prices (millions of US dollars),1788.00
Central African Republic,2005,GDP in constant 2015 prices (millions of US dollars),1938.00
Central African Republic,2010,GDP in constant 2015 prices (millions of US dollars),2331.00
Central African Republic,2015,GDP in constant 2015 prices (millions of US dollars),1695.00
Central African Republic,2020,GDP in constant 2015 prices (millions of US dollars),2002.00
Central African Republic,2021,GDP in constant 2015 prices (millions of US dollars),2022.00
Central African Republic,2022,GDP in constant 2015 prices (millions of US dollars),2031.00
Central African Republic,1995,GDP real rates of growth (percent),5.20
Central African Republic,2005,GDP real rates of growth (percent),2.40
Central African Republic,2010,GDP real rates of growth (percent),4.60
Central African Republic,2015,GDP real rates of growth (percent),4.30
Central African Republic,2020,GDP real rates of growth (percent),1.00
Central African Republic,2021,GDP real rates of growth (percent),1.00
Central African Republic,2022,GDP real rates of growth (percent),0.50
Chad,1995,GDP in current prices (millions of US dollars),1643.00
Chad,2005,GDP in current prices (millions of US dollars),6681.00
Chad,2010,GDP in current prices (millions of US dollars),12176.00
Chad,2015,GDP in current prices (millions of US dollars),14401.00
Chad,2020,GDP in current prices (millions of US dollars),14950.00
Chad,2021,GDP in current prices (millions of US dollars),16402.00
Chad,2022,GDP in current prices (millions of US dollars),16799.00
Chad,1995,GDP per capita (US dollars),239.00
Chad,2005,GDP per capita (US dollars),668.00
Chad,2010,GDP per capita (US dollars),1024.00
Chad,2015,GDP per capita (US dollars),1018.00
Chad,2020,GDP per capita (US dollars),898.00
Chad,2021,GDP per capita (US dollars),955.00
Chad,2022,GDP per capita (US dollars),948.00
Chad,1995,GDP in constant 2015 prices (millions of US dollars),2779.00
Chad,2005,GDP in constant 2015 prices (millions of US dollars),6331.00
Chad,2010,GDP in constant 2015 prices (millions of US dollars),10348.00
Chad,2015,GDP in constant 2015 prices (millions of US dollars),14401.00
Chad,2020,GDP in constant 2015 prices (millions of US dollars),14720.00
Chad,2021,GDP in constant 2015 prices (millions of US dollars),14545.00
Chad,2022,GDP in constant 2015 prices (millions of US dollars),15039.00
Chad,1995,GDP real rates of growth (percent),1.40
Chad,2005,GDP real rates of growth (percent),7.90
Chad,2010,GDP real rates of growth (percent),17.40
Chad,2015,GDP real rates of growth (percent),3.90
Chad,2020,GDP real rates of growth (percent),-2.10
Chad,2021,GDP real rates of growth (percent),-1.20
Chad,2022,GDP real rates of growth (percent),3.40
Chile,1995,GDP in current prices (millions of US dollars),75099.00
Chile,2005,GDP in current prices (millions of US dollars),122965.00
Chile,2010,GDP in current prices (millions of US dollars),218538.00
Chile,2015,GDP in current prices (millions of US dollars),243919.00
Chile,2020,GDP in current prices (millions of US dollars),254096.00
Chile,2021,GDP in current prices (millions of US dollars),316714.00
Chile,2022,GDP in current prices (millions of US dollars),300686.00
Chile,1995,GDP per capita (US dollars),5209.00
Chile,2005,GDP per capita (US dollars),7602.00
Chile,2010,GDP per capita (US dollars),12852.00
Chile,2015,GDP per capita (US dollars),13650.00
Chile,2020,GDP per capita (US dollars),13165.00
Chile,2021,GDP per capita (US dollars),16247.00
Chile,2022,GDP per capita (US dollars),15338.00
Chile,1995,GDP in constant 2015 prices (millions of US dollars),109700.00
Chile,2005,GDP in constant 2015 prices (millions of US dollars),167485.00
Chile,2010,GDP in constant 2015 prices (millions of US dollars),201494.00
Chile,2015,GDP in constant 2015 prices (millions of US dollars),243919.00
Chile,2020,GDP in constant 2015 prices (millions of US dollars),246171.00
Chile,2021,GDP in constant 2015 prices (millions of US dollars),275065.00
Chile,2022,GDP in constant 2015 prices (millions of US dollars),281778.00
Chile,1995,GDP real rates of growth (percent),10.60
Chile,2005,GDP real rates of growth (percent),6.20
Chile,2010,GDP real rates of growth (percent),5.80
Chile,2015,GDP real rates of growth (percent),2.30
Chile,2020,GDP real rates of growth (percent),-6.10
Chile,2021,GDP real rates of growth (percent),11.70
Chile,2022,GDP real rates of growth (percent),2.40
China,1995,GDP in current prices (millions of US dollars),734485.00
China,2005,GDP in current prices (millions of US dollars),2285962.00
China,2010,GDP in current prices (millions of US dollars),6087188.00
China,2015,GDP in current prices (millions of US dollars),11061570.00
China,2020,GDP in current prices (millions of US dollars),14687744.00
China,2021,GDP in current prices (millions of US dollars),17820459.00
China,2022,GDP in current prices (millions of US dollars),17963171.00
China,1995,GDP per capita (US dollars),603.00
China,2005,GDP per capita (US dollars),1752.00
China,2010,GDP per capita (US dollars),4515.00
China,2015,GDP per capita (US dollars),7937.00
China,2020,GDP per capita (US dollars),10308.00
China,2021,GDP per capita (US dollars),12498.00
China,2022,GDP per capita (US dollars),12598.00
China,1995,GDP in constant 2015 prices (millions of US dollars),1831413.00
China,2005,GDP in constant 2015 prices (millions of US dollars),4420545.00
China,2010,GDP in constant 2015 prices (millions of US dollars),7554111.00
China,2015,GDP in constant 2015 prices (millions of US dollars),11061570.00
China,2020,GDP in constant 2015 prices (millions of US dollars),14616411.00
China,2021,GDP in constant 2015 prices (millions of US dollars),15850964.00
China,2022,GDP in constant 2015 prices (millions of US dollars),16325036.00
China,1995,GDP real rates of growth (percent),11.00
China,2005,GDP real rates of growth (percent),11.40
China,2010,GDP real rates of growth (percent),10.60
China,2015,GDP real rates of growth (percent),7.00
China,2020,GDP real rates of growth (percent),2.20
China,2021,GDP real rates of growth (percent),8.40
China,2022,GDP real rates of growth (percent),3.00
"China, Hong Kong SAR",1995,GDP in current prices (millions of US dollars),144652.00
"China, Hong Kong SAR",2005,GDP in current prices (millions of US dollars),181569.00
"China, Hong Kong SAR",2010,GDP in current prices (millions of US dollars),228639.00
"China, Hong Kong SAR",2015,GDP in current prices (millions of US dollars),309386.00
"China, Hong Kong SAR",2020,GDP in current prices (millions of US dollars),344941.00
"China, Hong Kong SAR",2021,GDP in current prices (millions of US dollars),368909.00
"China, Hong Kong SAR",2022,GDP in current prices (millions of US dollars),359839.00
"China, Hong Kong SAR",1995,GDP per capita (US dollars),23167.00
"China, Hong Kong SAR",2005,GDP per capita (US dollars),26175.00
"China, Hong Kong SAR",2010,GDP per capita (US dollars),32056.00
"China, Hong Kong SAR",2015,GDP per capita (US dollars),41810.00
"China, Hong Kong SAR",2020,GDP per capita (US dollars),45986.00
"China, Hong Kong SAR",2021,GDP per capita (US dollars),49223.00
"China, Hong Kong SAR",2022,GDP per capita (US dollars),48050.00
"China, Hong Kong SAR",1995,GDP in constant 2015 prices (millions of US dollars),157719.00
"China, Hong Kong SAR",2005,GDP in constant 2015 prices (millions of US dollars),220757.00
"China, Hong Kong SAR",2010,GDP in constant 2015 prices (millions of US dollars),267552.00
"China, Hong Kong SAR",2015,GDP in constant 2015 prices (millions of US dollars),309386.00
"China, Hong Kong SAR",2020,GDP in constant 2015 prices (millions of US dollars),310097.00
"China, Hong Kong SAR",2021,GDP in constant 2015 prices (millions of US dollars),330073.00
"China, Hong Kong SAR",2022,GDP in constant 2015 prices (millions of US dollars),318598.00
"China, Hong Kong SAR",1995,GDP real rates of growth (percent),2.40
"China, Hong Kong SAR",2005,GDP real rates of growth (percent),7.40
"China, Hong Kong SAR",2010,GDP real rates of growth (percent),6.80
"China, Hong Kong SAR",2015,GDP real rates of growth (percent),2.40
"China, Hong Kong SAR",2020,GDP real rates of growth (percent),-6.50
"China, Hong Kong SAR",2021,GDP real rates of growth (percent),6.40
"China, Hong Kong SAR",2022,GDP real rates of growth (percent),-3.50
"China, Macao SAR",1995,GDP in current prices (millions of US dollars),7046.00
"China, Macao SAR",2005,GDP in current prices (millions of US dollars),12160.00
"China, Macao SAR",2010,GDP in current prices (millions of US dollars),28242.00
"China, Macao SAR",2015,GDP in current prices (millions of US dollars),45048.00
"China, Macao SAR",2020,GDP in current prices (millions of US dollars),25344.00
"China, Macao SAR",2021,GDP in current prices (millions of US dollars),30969.00
"China, Macao SAR",2022,GDP in current prices (millions of US dollars),24042.00
"China, Macao SAR",1995,GDP per capita (US dollars),17765.00
"China, Macao SAR",2005,GDP per capita (US dollars),24887.00
"China, Macao SAR",2010,GDP per capita (US dollars),50676.00
"China, Macao SAR",2015,GDP per capita (US dollars),73221.00
"China, Macao SAR",2020,GDP per capita (US dollars),37475.00
"China, Macao SAR",2021,GDP per capita (US dollars),45105.00
"China, Macao SAR",2022,GDP per capita (US dollars),34585.00
"China, Macao SAR",1995,GDP in constant 2015 prices (millions of US dollars),13978.00
"China, Macao SAR",2005,GDP in constant 2015 prices (millions of US dollars),23417.00
"China, Macao SAR",2010,GDP in constant 2015 prices (millions of US dollars),39823.00
"China, Macao SAR",2015,GDP in constant 2015 prices (millions of US dollars),45048.00
"China, Macao SAR",2020,GDP in constant 2015 prices (millions of US dollars),23271.00
"China, Macao SAR",2021,GDP in constant 2015 prices (millions of US dollars),28748.00
"China, Macao SAR",2022,GDP in constant 2015 prices (millions of US dollars),22581.00
"China, Macao SAR",1995,GDP real rates of growth (percent),3.30
"China, Macao SAR",2005,GDP real rates of growth (percent),8.10
"China, Macao SAR",2010,GDP real rates of growth (percent),25.10
"China, Macao SAR",2015,GDP real rates of growth (percent),-21.50
"China, Macao SAR",2020,GDP real rates of growth (percent),-54.30
"China, Macao SAR",2021,GDP real rates of growth (percent),23.50
"China, Macao SAR",2022,GDP real rates of growth (percent),-21.50
Colombia,1995,GDP in current prices (millions of US dollars),109580.00
Colombia,2005,GDP in current prices (millions of US dollars),145619.00
Colombia,2010,GDP in current prices (millions of US dollars),286563.00
Colombia,2015,GDP in current prices (millions of US dollars),293482.00
Colombia,2020,GDP in current prices (millions of US dollars),270036.00
Colombia,2021,GDP in current prices (millions of US dollars),318567.00
Colombia,2022,GDP in current prices (millions of US dollars),343939.00
Colombia,1995,GDP per capita (US dollars),3046.00
Colombia,2005,GDP per capita (US dollars),3449.00
Colombia,2010,GDP per capita (US dollars),6394.00
Colombia,2015,GDP per capita (US dollars),6228.00
Colombia,2020,GDP per capita (US dollars),5302.00
Colombia,2021,GDP per capita (US dollars),6184.00
Colombia,2022,GDP per capita (US dollars),6630.00
Colombia,1995,GDP in constant 2015 prices (millions of US dollars),150181.00
Colombia,2005,GDP in constant 2015 prices (millions of US dollars),187774.00
Colombia,2010,GDP in constant 2015 prices (millions of US dollars),233471.00
Colombia,2015,GDP in constant 2015 prices (millions of US dollars),293482.00
Colombia,2020,GDP in constant 2015 prices (millions of US dollars),298086.00
Colombia,2021,GDP in constant 2015 prices (millions of US dollars),330923.00
Colombia,2022,GDP in constant 2015 prices (millions of US dollars),354937.00
Colombia,1995,GDP real rates of growth (percent),5.20
Colombia,2005,GDP real rates of growth (percent),4.70
Colombia,2010,GDP real rates of growth (percent),4.50
Colombia,2015,GDP real rates of growth (percent),3.00
Colombia,2020,GDP real rates of growth (percent),-7.30
Colombia,2021,GDP real rates of growth (percent),11.00
Colombia,2022,GDP real rates of growth (percent),7.30
Comoros,1995,GDP in current prices (millions of US dollars),483.00
Comoros,2005,GDP in current prices (millions of US dollars),787.00
Comoros,2010,GDP in current prices (millions of US dollars),907.00
Comoros,2015,GDP in current prices (millions of US dollars),966.00
Comoros,2020,GDP in current prices (millions of US dollars),1224.00
Comoros,2021,GDP in current prices (millions of US dollars),1296.00
Comoros,2022,GDP in current prices (millions of US dollars),1247.00
Comoros,1995,GDP per capita (US dollars),999.00
Comoros,2005,GDP per capita (US dollars),1328.00
Comoros,2010,GDP per capita (US dollars),1383.00
Comoros,2015,GDP per capita (US dollars),1322.00
Comoros,2020,GDP per capita (US dollars),1518.00
Comoros,2021,GDP per capita (US dollars),1577.00
Comoros,2022,GDP per capita (US dollars),1490.00
Comoros,1995,GDP in constant 2015 prices (millions of US dollars),612.00
Comoros,2005,GDP in constant 2015 prices (millions of US dollars),743.00
Comoros,2010,GDP in constant 2015 prices (millions of US dollars),743.00
Comoros,2015,GDP in constant 2015 prices (millions of US dollars),966.00
Comoros,2020,GDP in constant 2015 prices (millions of US dollars),1175.00
Comoros,2021,GDP in constant 2015 prices (millions of US dollars),1208.00
Comoros,2022,GDP in constant 2015 prices (millions of US dollars),1240.00
Comoros,1995,GDP real rates of growth (percent),3.60
Comoros,2005,GDP real rates of growth (percent),2.80
Comoros,2010,GDP real rates of growth (percent),4.80
Comoros,2015,GDP real rates of growth (percent),2.00
Comoros,2020,GDP real rates of growth (percent),4.00
Comoros,2021,GDP real rates of growth (percent),2.80
Comoros,2022,GDP real rates of growth (percent),2.60
Congo,1995,GDP in current prices (millions of US dollars),2457.00
Congo,2005,GDP in current prices (millions of US dollars),6647.00
Congo,2010,GDP in current prices (millions of US dollars),13136.00
Congo,2015,GDP in current prices (millions of US dollars),12425.00
Congo,2020,GDP in current prices (millions of US dollars),11469.00
Congo,2021,GDP in current prices (millions of US dollars),14738.00
Congo,2022,GDP in current prices (millions of US dollars),15345.00
Congo,1995,GDP per capita (US dollars),896.00
Congo,2005,GDP per capita (US dollars),1810.00
Congo,2010,GDP per capita (US dollars),2960.00
Congo,2015,GDP per capita (US dollars),2453.00
Congo,2020,GDP per capita (US dollars),2011.00
Congo,2021,GDP per capita (US dollars),2525.00
Congo,2022,GDP per capita (US dollars),2570.00
Congo,1995,GDP in constant 2015 prices (millions of US dollars),6251.00
Congo,2005,GDP in constant 2015 prices (millions of US dollars),7904.00
Congo,2010,GDP in constant 2015 prices (millions of US dollars),10399.00
Congo,2015,GDP in constant 2015 prices (millions of US dollars),12425.00
Congo,2020,GDP in constant 2015 prices (millions of US dollars),9919.00
Congo,2021,GDP in constant 2015 prices (millions of US dollars),10068.00
Congo,2022,GDP in constant 2015 prices (millions of US dollars),10244.00
Congo,1995,GDP real rates of growth (percent),4.00
Congo,2005,GDP real rates of growth (percent),9.20
Congo,2010,GDP real rates of growth (percent),9.90
Congo,2015,GDP real rates of growth (percent),0.40
Congo,2020,GDP real rates of growth (percent),-6.30
Congo,2021,GDP real rates of growth (percent),1.50
Congo,2022,GDP real rates of growth (percent),1.70
Cook Islands,1995,GDP in current prices (millions of US dollars),116.00
Cook Islands,2005,GDP in current prices (millions of US dollars),199.00
Cook Islands,2010,GDP in current prices (millions of US dollars),241.00
Cook Islands,2015,GDP in current prices (millions of US dollars),302.00
Cook Islands,2020,GDP in current prices (millions of US dollars),283.00
Cook Islands,2021,GDP in current prices (millions of US dollars),247.00
Cook Islands,2022,GDP in current prices (millions of US dollars),290.00
Cook Islands,1995,GDP per capita (US dollars),6517.00
Cook Islands,2005,GDP per capita (US dollars),13152.00
Cook Islands,2010,GDP per capita (US dollars),13990.00
Cook Islands,2015,GDP per capita (US dollars),17077.00
Cook Islands,2020,GDP per capita (US dollars),16642.00
Cook Islands,2021,GDP per capita (US dollars),14526.00
Cook Islands,2022,GDP per capita (US dollars),17033.00
Cook Islands,1995,GDP in constant 2015 prices (millions of US dollars),207.00
Cook Islands,2005,GDP in constant 2015 prices (millions of US dollars),265.00
Cook Islands,2010,GDP in constant 2015 prices (millions of US dollars),266.00
Cook Islands,2015,GDP in constant 2015 prices (millions of US dollars),302.00
Cook Islands,2020,GDP in constant 2015 prices (millions of US dollars),287.00
Cook Islands,2021,GDP in constant 2015 prices (millions of US dollars),239.00
Cook Islands,2022,GDP in constant 2015 prices (millions of US dollars),306.00
Cook Islands,1995,GDP real rates of growth (percent),-4.40
Cook Islands,2005,GDP real rates of growth (percent),-1.10
Cook Islands,2010,GDP real rates of growth (percent),-4.90
Cook Islands,2015,GDP real rates of growth (percent),5.70
Cook Islands,2020,GDP real rates of growth (percent),-25.40
Cook Islands,2021,GDP real rates of growth (percent),-16.90
Cook Islands,2022,GDP real rates of growth (percent),28.40
Costa Rica,1995,GDP in current prices (millions of US dollars),11572.00
Costa Rica,2005,GDP in current prices (millions of US dollars),20045.00
Costa Rica,2010,GDP in current prices (millions of US dollars),37659.00
Costa Rica,2015,GDP in current prices (millions of US dollars),56442.00
Costa Rica,2020,GDP in current prices (millions of US dollars),62396.00
Costa Rica,2021,GDP in current prices (millions of US dollars),64616.00
Costa Rica,2022,GDP in current prices (millions of US dollars),68381.00
Costa Rica,1995,GDP per capita (US dollars),3239.00
Costa Rica,2005,GDP per capita (US dollars),4644.00
Costa Rica,2010,GDP per capita (US dollars),8147.00
Costa Rica,2015,GDP per capita (US dollars),11530.00
Costa Rica,2020,GDP per capita (US dollars),12179.00
Costa Rica,2021,GDP per capita (US dollars),12537.00
Costa Rica,2022,GDP per capita (US dollars),13199.00
Costa Rica,1995,GDP in constant 2015 prices (millions of US dollars),24537.00
Costa Rica,2005,GDP in constant 2015 prices (millions of US dollars),36882.00
Costa Rica,2010,GDP in constant 2015 prices (millions of US dollars),46858.00
Costa Rica,2015,GDP in constant 2015 prices (millions of US dollars),56442.00
Costa Rica,2020,GDP in constant 2015 prices (millions of US dollars),61631.00
Costa Rica,2021,GDP in constant 2015 prices (millions of US dollars),66427.00
Costa Rica,2022,GDP in constant 2015 prices (millions of US dollars),69286.00
Costa Rica,1995,GDP real rates of growth (percent),4.20
Costa Rica,2005,GDP real rates of growth (percent),4.00
Costa Rica,2010,GDP real rates of growth (percent),5.40
Costa Rica,2015,GDP real rates of growth (percent),3.70
Costa Rica,2020,GDP real rates of growth (percent),-4.30
Costa Rica,2021,GDP real rates of growth (percent),7.80
Costa Rica,2022,GDP real rates of growth (percent),4.30
Côte d’Ivoire,1995,GDP in current prices (millions of US dollars),11105.00
Côte d’Ivoire,2005,GDP in current prices (millions of US dollars),17085.00
Côte d’Ivoire,2010,GDP in current prices (millions of US dollars),26264.00
Côte d’Ivoire,2015,GDP in current prices (millions of US dollars),45780.00
Côte d’Ivoire,2020,GDP in current prices (millions of US dollars),62983.00
Côte d’Ivoire,2021,GDP in current prices (millions of US dollars),71811.00
Côte d’Ivoire,2022,GDP in current prices (millions of US dollars),70019.00
Côte d’Ivoire,1995,GDP per capita (US dollars),777.00
Côte d’Ivoire,2005,GDP per capita (US dollars),901.00
Côte d’Ivoire,2010,GDP per capita (US dollars),1244.00
Côte d’Ivoire,2015,GDP per capita (US dollars),1940.00
Côte d’Ivoire,2020,GDP per capita (US dollars),2349.00
Côte d’Ivoire,2021,GDP per capita (US dollars),2613.00
Côte d’Ivoire,2022,GDP per capita (US dollars),2486.00
Côte d’Ivoire,1995,GDP in constant 2015 prices (millions of US dollars),18367.00
Côte d’Ivoire,2005,GDP in constant 2015 prices (millions of US dollars),21747.00
Côte d’Ivoire,2010,GDP in constant 2015 prices (millions of US dollars),25614.00
Côte d’Ivoire,2015,GDP in constant 2015 prices (millions of US dollars),45780.00
Côte d’Ivoire,2020,GDP in constant 2015 prices (millions of US dollars),59875.00
Côte d’Ivoire,2021,GDP in constant 2015 prices (millions of US dollars),64067.00
Côte d’Ivoire,2022,GDP in constant 2015 prices (millions of US dollars),68386.00
Côte d’Ivoire,1995,GDP real rates of growth (percent),7.10
Côte d’Ivoire,2005,GDP real rates of growth (percent),1.70
Côte d’Ivoire,2010,GDP real rates of growth (percent),7.70
Côte d’Ivoire,2015,GDP real rates of growth (percent),14.90
Côte d’Ivoire,2020,GDP real rates of growth (percent),1.70
Côte d’Ivoire,2021,GDP real rates of growth (percent),7.00
Côte d’Ivoire,2022,GDP real rates of growth (percent),6.70
Croatia,1995,GDP in current prices (millions of US dollars),22644.00
Croatia,2005,GDP in current prices (millions of US dollars),45835.00
Croatia,2010,GDP in current prices (millions of US dollars),60802.00
Croatia,2015,GDP in current prices (millions of US dollars),50357.00
Croatia,2020,GDP in current prices (millions of US dollars),57607.00
Croatia,2021,GDP in current prices (millions of US dollars),69193.00
Croatia,2022,GDP in current prices (millions of US dollars),71552.00
Croatia,1995,GDP per capita (US dollars),4710.00
Croatia,2005,GDP per capita (US dollars),10347.00
Croatia,2010,GDP per capita (US dollars),13918.00
Croatia,2015,GDP per capita (US dollars),11835.00
Croatia,2020,GDP per capita (US dollars),14061.00
Croatia,2021,GDP per capita (US dollars),17042.00
Croatia,2022,GDP per capita (US dollars),17753.00
Croatia,1995,GDP in constant 2015 prices (millions of US dollars),33422.00
Croatia,2005,GDP in constant 2015 prices (millions of US dollars),49178.00
Croatia,2010,GDP in constant 2015 prices (millions of US dollars),50753.00
Croatia,2015,GDP in constant 2015 prices (millions of US dollars),50357.00
Croatia,2020,GDP in constant 2015 prices (millions of US dollars),52404.00
Croatia,2021,GDP in constant 2015 prices (millions of US dollars),59628.00
Croatia,2022,GDP in constant 2015 prices (millions of US dollars),63413.00
Croatia,1995,GDP real rates of growth (percent),8.00
Croatia,2005,GDP real rates of growth (percent),4.30
Croatia,2010,GDP real rates of growth (percent),-1.20
Croatia,2015,GDP real rates of growth (percent),2.50
Croatia,2020,GDP real rates of growth (percent),-8.60
Croatia,2021,GDP real rates of growth (percent),13.80
Croatia,2022,GDP real rates of growth (percent),6.30
Cuba,1995,GDP in current prices (millions of US dollars),30428.00
Cuba,2005,GDP in current prices (millions of US dollars),42644.00
Cuba,2010,GDP in current prices (millions of US dollars),64328.00
Cuba,2015,GDP in current prices (millions of US dollars),87206.00
Cuba,2020,GDP in current prices (millions of US dollars),107352.00
Cuba,2021,GDP in current prices (millions of US dollars),126693.00
Cuba,2022,GDP in current prices (millions of US dollars),147194.00
Cuba,1995,GDP per capita (US dollars),2785.00
Cuba,2005,GDP per capita (US dollars),3792.00
Cuba,2010,GDP per capita (US dollars),5698.00
Cuba,2015,GDP per capita (US dollars),7690.00
Cuba,2020,GDP per capita (US dollars),9500.00
Cuba,2021,GDP per capita (US dollars),11255.00
Cuba,2022,GDP per capita (US dollars),13128.00
Cuba,1995,GDP in constant 2015 prices (millions of US dollars),36619.00
Cuba,2005,GDP in constant 2015 prices (millions of US dollars),58415.00
Cuba,2010,GDP in constant 2015 prices (millions of US dollars),75943.00
Cuba,2015,GDP in constant 2015 prices (millions of US dollars),87206.00
Cuba,2020,GDP in constant 2015 prices (millions of US dollars),81122.00
Cuba,2021,GDP in constant 2015 prices (millions of US dollars),82139.00
Cuba,2022,GDP in constant 2015 prices (millions of US dollars),83597.00
Cuba,1995,GDP real rates of growth (percent),2.50
Cuba,2005,GDP real rates of growth (percent),11.20
Cuba,2010,GDP real rates of growth (percent),2.40
Cuba,2015,GDP real rates of growth (percent),4.40
Cuba,2020,GDP real rates of growth (percent),-10.90
Cuba,2021,GDP real rates of growth (percent),1.30
Cuba,2022,GDP real rates of growth (percent),1.80
Curaçao,2005,GDP in current prices (millions of US dollars),2345.00
Curaçao,2010,GDP in current prices (millions of US dollars),2949.00
Curaçao,2015,GDP in current prices (millions of US dollars),3059.00
Curaçao,2020,GDP in current prices (millions of US dollars),2534.00
Curaçao,2021,GDP in current prices (millions of US dollars),2740.00
Curaçao,2022,GDP in current prices (millions of US dollars),3075.00
Curaçao,2005,GDP per capita (US dollars),15921.00
Curaçao,2010,GDP per capita (US dollars),18502.00
Curaçao,2015,GDP per capita (US dollars),18038.00
Curaçao,2020,GDP per capita (US dollars),13389.00
Curaçao,2021,GDP per capita (US dollars),14393.00
Curaçao,2022,GDP per capita (US dollars),16087.00
Curaçao,2005,GDP in constant 2015 prices (millions of US dollars),2906.00
Curaçao,2010,GDP in constant 2015 prices (millions of US dollars),3076.00
Curaçao,2015,GDP in constant 2015 prices (millions of US dollars),3059.00
Curaçao,2020,GDP in constant 2015 prices (millions of US dollars),2320.00
Curaçao,2021,GDP in constant 2015 prices (millions of US dollars),2417.00
Curaçao,2022,GDP in constant 2015 prices (millions of US dollars),2608.00
Curaçao,2010,GDP real rates of growth (percent),0.10
Curaçao,2015,GDP real rates of growth (percent),0.50
Curaçao,2020,GDP real rates of growth (percent),-18.00
Curaçao,2021,GDP real rates of growth (percent),4.20
Curaçao,2022,GDP real rates of growth (percent),7.90
Cyprus,1995,GDP in current prices (millions of US dollars),9827.00
Cyprus,2005,GDP in current prices (millions of US dollars),18967.00
Cyprus,2010,GDP in current prices (millions of US dollars),25775.00
Cyprus,2015,GDP in current prices (millions of US dollars),19901.00
Cyprus,2020,GDP in current prices (millions of US dollars),25227.00
Cyprus,2021,GDP in current prices (millions of US dollars),29483.00
Cyprus,2022,GDP in current prices (millions of US dollars),29211.00
Cyprus,1995,GDP per capita (US dollars),15102.00
Cyprus,2005,GDP per capita (US dollars),25682.00
Cyprus,2010,GDP per capita (US dollars),31075.00
Cyprus,2015,GDP per capita (US dollars),23477.00
Cyprus,2020,GDP per capita (US dollars),28820.00
Cyprus,2021,GDP per capita (US dollars),33502.00
Cyprus,2022,GDP per capita (US dollars),32999.00
Cyprus,1995,GDP in constant 2015 prices (millions of US dollars),12657.00
Cyprus,2005,GDP in constant 2015 prices (millions of US dollars),18922.00
Cyprus,2010,GDP in constant 2015 prices (millions of US dollars),21632.00
Cyprus,2015,GDP in constant 2015 prices (millions of US dollars),19901.00
Cyprus,2020,GDP in constant 2015 prices (millions of US dollars),24156.00
Cyprus,2021,GDP in constant 2015 prices (millions of US dollars),26550.00
Cyprus,2022,GDP in constant 2015 prices (millions of US dollars),27893.00
Cyprus,1995,GDP real rates of growth (percent),9.90
Cyprus,2005,GDP real rates of growth (percent),4.90
Cyprus,2010,GDP real rates of growth (percent),2.30
Cyprus,2015,GDP real rates of growth (percent),3.40
Cyprus,2020,GDP real rates of growth (percent),-3.40
Cyprus,2021,GDP real rates of growth (percent),9.90
Cyprus,2022,GDP real rates of growth (percent),5.10
Czechia,1995,GDP in current prices (millions of US dollars),60146.00
Czechia,2005,GDP in current prices (millions of US dollars),137143.00
Czechia,2010,GDP in current prices (millions of US dollars),209070.00
Czechia,2015,GDP in current prices (millions of US dollars),188033.00
Czechia,2020,GDP in current prices (millions of US dollars),245975.00
Czechia,2021,GDP in current prices (millions of US dollars),281791.00
Czechia,2022,GDP in current prices (millions of US dollars),290528.00
Czechia,1995,GDP per capita (US dollars),5833.00
Czechia,2005,GDP per capita (US dollars),13341.00
Czechia,2010,GDP per capita (US dollars),19978.00
Czechia,2015,GDP per capita (US dollars),17867.00
Czechia,2020,GDP per capita (US dollars),23357.00
Czechia,2021,GDP per capita (US dollars),26810.00
Czechia,2022,GDP per capita (US dollars),27685.00
Czechia,1995,GDP in constant 2015 prices (millions of US dollars),115863.00
Czechia,2005,GDP in constant 2015 prices (millions of US dollars),152948.00
Czechia,2010,GDP in constant 2015 prices (millions of US dollars),172890.00
