customer_age,customer_income,home_ownership,loan_intent,loan_grade,loan_amount,loan_int_rate,term_years,cred_hist_length,Current_loan_status
25,32000,RENT,VENTURE,B,10000,12.99,5,2,DEFAULT
23,38000,RENT,PERSONAL,A,10000,10.99,3,2,NO DEFAULT
22,69996,OWN,MEDICAL,B,8000,12.84,2,4,NO DEFAULT
25,38000,RENT,EDUCATION,A,10000,7.49,5,4,NO DEFAULT
24,69996,MORTGAGE,VENTURE,A,12000,10.99,7,2,NO DEFAULT
23,69996,MORTGAGE,VENTURE,A,4000,8,3,2,NO DEFAULT
26,38000,RENT,PERSONAL,A,10000,7.66,6,3,NO DEFAULT
23,38000,RENT,VENTURE,A,10000,7.51,3,4,NO DEFAULT
23,69996,MORTGAGE,PERSONAL,B,15000,13.47,7,4,NO DEFAULT
26,38000,RENT,VENTURE,A,10000,10.99,6,3,NO DEFAULT
22,69996,MORTGAGE,DEBT CONSOLIDATION,A,15000,12.21,7,2,NO DEFAULT
24,69996,MORTGAGE,HOME IMPROVEMENT,A,5000,10.2,4,2,NO DEFAULT
21,38000,RENT,PERSONAL,A,10000,12.18,1,3,NO DEFAULT
23,70000,MORTGAGE,PERSONAL,A,10000,6.62,3,4,NO DEFAULT
26,70000,MORTGAGE,HOME IMPROVEMENT,B,20000,14.27,7,4,NO DEFAULT
22,38004,RENT,VENTURE,A,10000,10.74,2,3,NO DEFAULT
26,70000,MORTGAGE,PERSONAL,A,5000,10.99,6,4,NO DEFAULT
22,38004,RENT,PERSONAL,A,10000,10.37,2,4,NO DEFAULT
22,38004,RENT,EDUCATION,A,10000,10.75,2,2,NO DEFAULT
26,38004,RENT,MEDICAL,B,10000,13.48,6,3,NO DEFAULT
25,32200,RENT,VENTURE,C,10000,16.77,5,4,DEFAULT
24,38244,RENT,PERSONAL,A,10000,7.88,4,3,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,24000,8.9,7,4,NO DEFAULT
23,32400,RENT,EDUCATION,A,10000,8.49,3,3,DEFAULT
21,38400,RENT,EDUCATION,A,10000,7.66,1,4,NO DEFAULT
24,38400,RENT,DEBT CONSOLIDATION,A,10000,10.38,4,3,NO DEFAULT
24,64000,MORTGAGE,HOME IMPROVEMENT,B,16000,14.65,7,2,DEFAULT
21,32400,RENT,MEDICAL,B,10000,13.23,1,4,DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,B,8000,13.49,2,2,NO DEFAULT
23,70000,MORTGAGE,VENTURE,A,3500,6.03,3,3,NO DEFAULT
24,38700,RENT,MEDICAL,A,10000,10.99,4,3,NO DEFAULT
22,70000,MORTGAGE,MEDICAL,A,6000,6.03,2,2,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,B,2000,13.49,3,2,NO DEFAULT
26,38832,RENT,DEBT CONSOLIDATION,A,10000,10.37,6,2,NO DEFAULT
22,33000,RENT,PERSONAL,A,10000,12.42,2,3,DEFAULT
25,70000,MORTGAGE,DEBT CONSOLIDATION,B,11300,14.65,7,2,NO DEFAULT
25,33000,RENT,VENTURE,B,10000,15.96,5,3,DEFAULT
24,64000,OWN,VENTURE,D,6100,18.64,4,4,DEFAULT
25,70000,MORTGAGE,PERSONAL,A,1000,12.69,5,2,NO DEFAULT
25,70000,MORTGAGE,DEBT CONSOLIDATION,A,15600,11.71,7,3,NO DEFAULT
24,70000,MORTGAGE,EDUCATION,A,7750,6.62,4,3,NO DEFAULT
26,64000,MORTGAGE,DEBT CONSOLIDATION,D,9000,18.64,6,4,DEFAULT
22,70000,MORTGAGE,EDUCATION,A,5000,6.03,2,2,NO DEFAULT
26,70000,MORTGAGE,VENTURE,A,35000,7.9,7,2,NO DEFAULT
25,39500,RENT,MEDICAL,A,10000,5.99,5,2,NO DEFAULT
22,39580,RENT,EDUCATION,A,10000,9.99,2,2,NO DEFAULT
22,39600,RENT,DEBT CONSOLIDATION,A,10000,11.71,2,2,NO DEFAULT
22,33948,RENT,MEDICAL,A,10000,8.32,2,2,DEFAULT
26,70000,OWN,PERSONAL,A,10000,12.42,6,4,NO DEFAULT
25,39996,RENT,VENTURE,A,10000,10.99,5,4,NO DEFAULT
23,39996,RENT,MEDICAL,A,10000,10.99,3,2,NO DEFAULT
24,64000,MORTGAGE,VENTURE,E,4000,20.89,4,2,DEFAULT
25,70000,OWN,HOME IMPROVEMENT,A,10000,10.99,5,2,NO DEFAULT
21,39996,RENT,EDUCATION,A,10000,8.59,1,4,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,A,2000,7.9,2,3,NO DEFAULT
24,70000,MORTGAGE,MEDICAL,B,10000,13.49,4,4,NO DEFAULT
21,40000,RENT,MEDICAL,A,10000,11.71,1,4,NO DEFAULT
24,70000,MORTGAGE,PERSONAL,A,17000,7.51,7,4,NO DEFAULT
22,64000,MORTGAGE,DEBT CONSOLIDATION,A,14400,11.71,7,2,DEFAULT
23,70000,MORTGAGE,EDUCATION,A,10500,7.51,7,2,NO DEFAULT
22,40000,RENT,EDUCATION,B,10000,14.27,2,3,NO DEFAULT
24,70000,MORTGAGE,DEBT CONSOLIDATION,A,5000,6.03,4,3,NO DEFAULT
22,40000,RENT,EDUCATION,A,10000,10.99,2,4,NO DEFAULT
22,70000,MORTGAGE,VENTURE,A,5025,10.99,2,2,NO DEFAULT
21,70000,MORTGAGE,MEDICAL,A,7000,6.03,1,3,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,16000,10.99,7,4,NO DEFAULT
23,40000,RENT,EDUCATION,B,10000,10.99,3,2,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,13000,5.42,7,3,NO DEFAULT
24,34000,RENT,HOME IMPROVEMENT,A,10000,12.69,4,2,DEFAULT
23,40000,RENT,VENTURE,A,10000,7.9,3,3,NO DEFAULT
25,34000,RENT,PERSONAL,A,10000,6.62,5,4,DEFAULT
22,70000,OWN,VENTURE,A,1250,5.42,2,4,NO DEFAULT
21,70000,MORTGAGE,PERSONAL,C,2500,16.49,1,3,NO DEFAULT
24,70000,MORTGAGE,DEBT CONSOLIDATION,A,7000,9.99,4,4,NO DEFAULT
26,40000,RENT,VENTURE,C,10000,16.89,6,3,NO DEFAULT
23,54400,MORTGAGE,MEDICAL,C,12000,15.62,7,3,DEFAULT
24,40000,RENT,DEBT CONSOLIDATION,A,10000,11.99,4,3,NO DEFAULT
24,64000,MORTGAGE,PERSONAL,A,14500,5.42,7,2,DEFAULT
25,70000,MORTGAGE,VENTURE,A,14000,5.42,7,3,NO DEFAULT
25,70000,MORTGAGE,VENTURE,A,4800,6.99,5,4,NO DEFAULT
24,40000,RENT,PERSONAL,A,10000,8.49,4,3,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,A,9750,8.49,2,4,NO DEFAULT
22,34000,RENT,MEDICAL,C,10000,15.28,2,3,DEFAULT
23,70000,MORTGAGE,VENTURE,A,15000,8.49,7,2,NO DEFAULT
22,40000,RENT,EDUCATION,A,10000,10.37,2,2,NO DEFAULT
24,40000,RENT,MEDICAL,A,10000,5.79,4,2,NO DEFAULT
25,40000,RENT,MEDICAL,A,10000,10,5,4,NO DEFAULT
23,34000,RENT,EDUCATION,A,10000,10.36,3,4,DEFAULT
21,40000,RENT,EDUCATION,A,10000,10.99,1,2,NO DEFAULT
23,40000,RENT,EDUCATION,A,10000,10.75,3,4,NO DEFAULT
24,70000,MORTGAGE,EDUCATION,B,6000,15.23,4,4,NO DEFAULT
25,70000,MORTGAGE,MEDICAL,A,8000,6.99,5,4,NO DEFAULT
24,40000,RENT,PERSONAL,A,10000,7.88,4,3,NO DEFAULT
26,70000,MORTGAGE,HOME IMPROVEMENT,A,4000,8.49,6,2,NO DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,A,4500,5.42,2,2,NO DEFAULT
26,70000,MORTGAGE,DEBT CONSOLIDATION,A,8000,10.99,6,2,NO DEFAULT
22,40000,RENT,EDUCATION,A,10000,7.14,2,4,NO DEFAULT
21,40000,RENT,VENTURE,A,10000,7.51,1,4,NO DEFAULT
26,34000,RENT,VENTURE,B,10000,13.11,6,3,DEFAULT
22,70000,MORTGAGE,EDUCATION,A,8000,7.49,2,3,NO DEFAULT
25,40000,RENT,VENTURE,B,10000,13.48,5,3,NO DEFAULT
24,40000,RENT,VENTURE,A,10000,10.99,4,2,NO DEFAULT
23,40000,RENT,DEBT CONSOLIDATION,B,10000,13.22,3,4,NO DEFAULT
25,40000,RENT,EDUCATION,A,10000,12.18,5,3,NO DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,A,6000,5.42,2,2,NO DEFAULT
22,40000,RENT,MEDICAL,A,10000,12.21,2,2,NO DEFAULT
23,70000,MORTGAGE,PERSONAL,A,25000,10.59,7,3,NO DEFAULT
23,70000,MORTGAGE,MEDICAL,B,10000,14.79,3,2,NO DEFAULT
22,70000,MORTGAGE,MEDICAL,A,2000,11.49,2,4,NO DEFAULT
22,70000,MORTGAGE,VENTURE,A,6000,11.49,2,2,NO DEFAULT
26,40000,RENT,EDUCATION,A,10000,9.63,6,4,NO DEFAULT
23,40000,RENT,DEBT CONSOLIDATION,B,10000,12.84,3,4,NO DEFAULT
22,34000,RENT,EDUCATION,C,10000,10.99,2,3,DEFAULT
25,70000,OWN,PERSONAL,A,4000,7.42,5,2,NO DEFAULT
25,34000,RENT,HOME IMPROVEMENT,B,10000,13.79,5,4,DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,A,8400,6.99,2,4,NO DEFAULT
22,40000,RENT,EDUCATION,A,10000,8,2,4,NO DEFAULT
25,70000,MORTGAGE,MEDICAL,A,10000,5.42,5,4,NO DEFAULT
24,70000,OWN,PERSONAL,A,6000,5.42,4,2,NO DEFAULT
24,70000,MORTGAGE,EDUCATION,A,21000,11.99,7,4,NO DEFAULT
24,41000,RENT,EDUCATION,A,10000,6.99,4,4,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,A,6800,10.99,2,4,NO DEFAULT
24,41004,RENT,DEBT CONSOLIDATION,A,10000,11.14,4,2,NO DEFAULT
22,64000,MORTGAGE,DEBT CONSOLIDATION,A,6000,10.99,2,2,DEFAULT
25,70000,MORTGAGE,VENTURE,A,20000,10.59,7,2,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,2500,11.99,3,2,NO DEFAULT
24,70000,MORTGAGE,MEDICAL,A,1600,10.99,4,3,NO DEFAULT
23,42000,RENT,VENTURE,B,10000,10.99,3,2,NO DEFAULT
23,70000,OWN,EDUCATION,A,3600,10.59,3,4,NO DEFAULT
22,36000,RENT,VENTURE,B,10000,15.27,2,2,DEFAULT
22,42000,RENT,EDUCATION,A,10000,12.42,2,4,NO DEFAULT
22,42000,RENT,EDUCATION,B,10000,13.49,2,4,NO DEFAULT
25,42000,RENT,MEDICAL,B,10000,14.27,5,2,NO DEFAULT
25,42000,RENT,EDUCATION,B,10000,12.99,5,2,NO DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,A,10000,7.29,2,3,NO DEFAULT
23,42000,RENT,PERSONAL,A,10000,5.42,3,3,NO DEFAULT
23,42000,RENT,MEDICAL,A,10000,10.99,3,4,NO DEFAULT
22,70000,MORTGAGE,VENTURE,A,2000,10.74,2,2,NO DEFAULT
22,42000,RENT,PERSONAL,B,10000,10.99,2,4,NO DEFAULT
22,42000,RENT,EDUCATION,A,10000,10.99,2,4,NO DEFAULT
22,42000,RENT,EDUCATION,A,10000,6.92,2,2,NO DEFAULT
26,70000,MORTGAGE,MEDICAL,B,4800,10.99,6,4,NO DEFAULT
24,70000,MORTGAGE,HOME IMPROVEMENT,B,25000,10.99,7,3,NO DEFAULT
23,70000,MORTGAGE,DEBT CONSOLIDATION,A,3500,5.42,3,2,NO DEFAULT
26,42000,RENT,MEDICAL,A,10000,6.54,6,4,NO DEFAULT
22,42000,RENT,DEBT CONSOLIDATION,A,10000,6.17,2,3,NO DEFAULT
22,42000,RENT,PERSONAL,B,10000,13.98,2,2,NO DEFAULT
22,36000,RENT,PERSONAL,A,10000,11.36,2,2,DEFAULT
25,70000,MORTGAGE,VENTURE,A,6300,10.37,5,4,NO DEFAULT
25,42000,RENT,VENTURE,A,10000,10.99,5,2,NO DEFAULT
24,42000,RENT,EDUCATION,A,10000,7.88,4,3,NO DEFAULT
26,42900,RENT,PERSONAL,C,10000,10.99,6,3,NO DEFAULT
24,70000,MORTGAGE,MEDICAL,A,25000,10.99,7,2,NO DEFAULT
25,42910,RENT,EDUCATION,C,10000,18.25,5,3,NO DEFAULT
25,70000,MORTGAGE,MEDICAL,A,12000,10.37,7,4,NO DEFAULT
25,70000,MORTGAGE,DEBT CONSOLIDATION,A,4000,6.92,5,2,NO DEFAULT
21,43000,RENT,PERSONAL,B,10000,10.99,1,4,NO DEFAULT
26,70000,MORTGAGE,PERSONAL,A,8000,10,6,2,NO DEFAULT
26,43000,RENT,EDUCATION,B,10000,14.65,6,4,NO DEFAULT
22,70000,MORTGAGE,VENTURE,B,8000,13.35,2,2,NO DEFAULT
23,70000,MORTGAGE,DEBT CONSOLIDATION,A,3525,6.91,3,3,NO DEFAULT
24,43000,RENT,EDUCATION,A,10000,5.79,4,2,NO DEFAULT
25,43000,RENT,EDUCATION,A,10000,7.66,5,3,NO DEFAULT
24,43000,RENT,MEDICAL,A,10000,9.63,4,3,NO DEFAULT
21,70000,MORTGAGE,DEBT CONSOLIDATION,A,6000,5.42,1,3,NO DEFAULT
23,43000,RENT,EDUCATION,A,10000,9.25,3,3,NO DEFAULT
24,43000,RENT,MEDICAL,B,10000,13.16,4,4,NO DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,A,10000,10.36,2,2,NO DEFAULT
24,70000,MORTGAGE,VENTURE,A,25000,9.62,7,2,NO DEFAULT
22,37200,RENT,PERSONAL,A,10000,10.99,2,2,DEFAULT
22,70000,OWN,MEDICAL,A,8000,5.79,2,3,NO DEFAULT
22,44000,RENT,MEDICAL,A,10000,10.65,2,4,NO DEFAULT
22,70000,MORTGAGE,VENTURE,A,21000,8.88,7,3,NO DEFAULT
25,70000,MORTGAGE,PERSONAL,A,12000,5.79,7,2,NO DEFAULT
24,44000,RENT,PERSONAL,A,10000,7.49,4,2,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,20000,6.17,7,2,NO DEFAULT
24,70000,MORTGAGE,DEBT CONSOLIDATION,A,11000,10.99,7,3,NO DEFAULT
25,44000,RENT,MEDICAL,B,10000,12.68,5,4,NO DEFAULT
26,70000,MORTGAGE,MEDICAL,A,3200,9.25,6,4,NO DEFAULT
22,44000,RENT,EDUCATION,C,10000,15.95,2,4,NO DEFAULT
21,44000,RENT,PERSONAL,C,10000,14.74,1,4,NO DEFAULT
23,44160,RENT,EDUCATION,B,10000,14.27,3,3,NO DEFAULT
23,44796,RENT,DEBT CONSOLIDATION,A,10000,11.48,3,2,NO DEFAULT
23,70000,OWN,VENTURE,A,11000,7.14,7,4,NO DEFAULT
26,64000,MORTGAGE,DEBT CONSOLIDATION,C,7000,15.95,6,2,DEFAULT
21,45000,RENT,VENTURE,A,10000,6.62,1,4,NO DEFAULT
25,45000,RENT,MEDICAL,A,10000,12.69,5,2,NO DEFAULT
22,45000,RENT,EDUCATION,A,10000,10.65,2,3,NO DEFAULT
25,70000,MORTGAGE,PERSONAL,A,8000,7.88,5,4,NO DEFAULT
24,45000,RENT,PERSONAL,A,10000,6.62,4,3,NO DEFAULT
24,64000,MORTGAGE,EDUCATION,A,5000,7.88,4,4,DEFAULT
23,70000,MORTGAGE,EDUCATION,A,4000,10.99,3,4,NO DEFAULT
26,70000,MORTGAGE,EDUCATION,B,4000,13.98,6,4,NO DEFAULT
26,45000,RENT,PERSONAL,B,10000,10.99,6,3,NO DEFAULT
22,45000,RENT,MEDICAL,A,10000,9.91,2,2,NO DEFAULT
24,70000,MORTGAGE,VENTURE,A,6000,7.88,4,3,NO DEFAULT
25,70000,MORTGAGE,PERSONAL,A,12000,7.51,7,4,NO DEFAULT
23,45000,RENT,EDUCATION,A,10000,6.62,3,4,NO DEFAULT
26,70000,MORTGAGE,EDUCATION,B,3500,14.35,6,3,NO DEFAULT
23,70000,OWN,EDUCATION,B,16000,14.35,7,3,NO DEFAULT
22,70000,MORTGAGE,VENTURE,A,13750,10.75,7,3,NO DEFAULT
22,45000,RENT,EDUCATION,A,10000,7.51,2,3,NO DEFAULT
23,39000,RENT,PERSONAL,A,10000,11.99,3,3,DEFAULT
23,70000,MORTGAGE,DEBT CONSOLIDATION,A,4400,6.76,3,4,NO DEFAULT
26,70000,MORTGAGE,PERSONAL,C,8000,14.84,6,3,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,C,16000,16.32,7,2,NO DEFAULT
23,70000,MORTGAGE,PERSONAL,A,5000,11.12,3,3,NO DEFAULT
26,70000,MORTGAGE,VENTURE,A,25000,10.99,7,4,NO DEFAULT
25,70000,MORTGAGE,DEBT CONSOLIDATION,A,8000,11.12,5,3,NO DEFAULT
25,45000,RENT,VENTURE,B,10000,12.98,5,2,NO DEFAULT
21,70000,MORTGAGE,EDUCATION,A,9800,7.14,1,4,NO DEFAULT
22,70000,MORTGAGE,MEDICAL,A,8400,7.88,2,2,NO DEFAULT
24,70000,OWN,VENTURE,C,8000,15.95,4,2,NO DEFAULT
23,70000,MORTGAGE,PERSONAL,A,6000,7.51,3,2,NO DEFAULT
23,39000,RENT,PERSONAL,C,10000,15.2,3,3,DEFAULT
24,45000,RENT,EDUCATION,A,10000,6.54,4,3,NO DEFAULT
24,70000,MORTGAGE,DEBT CONSOLIDATION,A,12000,11.36,7,4,NO DEFAULT
26,70000,MORTGAGE,DEBT CONSOLIDATION,A,2500,10.99,6,3,NO DEFAULT
22,45000,RENT,EDUCATION,A,10000,7.51,2,2,NO DEFAULT
24,45000,RENT,DEBT CONSOLIDATION,A,10000,7.51,4,2,NO DEFAULT
26,70000,MORTGAGE,EDUCATION,A,5000,9.88,6,4,NO DEFAULT
22,39000,RENT,PERSONAL,C,10000,16.07,2,2,DEFAULT
26,70000,MORTGAGE,HOME IMPROVEMENT,C,10000,10.99,6,4,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,A,6000,7.14,2,4,NO DEFAULT
25,70000,OWN,HOME IMPROVEMENT,C,12000,14.59,7,2,NO DEFAULT
26,70000,MORTGAGE,PERSONAL,A,4500,7.51,6,4,NO DEFAULT
22,45000,RENT,PERSONAL,D,10000,17.93,2,2,NO DEFAULT
21,45000,RENT,EDUCATION,A,10000,10.25,1,2,NO DEFAULT
24,70000,MORTGAGE,DEBT CONSOLIDATION,A,16000,10.62,7,2,NO DEFAULT
24,70000,MORTGAGE,VENTURE,A,25000,10.62,7,2,NO DEFAULT
24,70000,MORTGAGE,PERSONAL,D,12000,17.56,7,3,NO DEFAULT
24,70000,MORTGAGE,HOME IMPROVEMENT,A,4800,11.36,4,2,NO DEFAULT
24,45000,RENT,VENTURE,B,10000,13.11,4,4,NO DEFAULT
25,70000,MORTGAGE,MEDICAL,B,12800,13.11,7,4,NO DEFAULT
22,70000,MORTGAGE,MEDICAL,A,11000,11.36,7,3,NO DEFAULT
24,70000,MORTGAGE,VENTURE,A,6000,7.88,4,3,NO DEFAULT
25,45000,RENT,MEDICAL,B,10000,12.87,5,3,NO DEFAULT
22,39000,RENT,EDUCATION,C,10000,10.99,2,3,DEFAULT
21,45000,RENT,EDUCATION,A,10000,10.99,1,2,NO DEFAULT
24,39000,RENT,DEBT CONSOLIDATION,C,10000,14.11,4,3,DEFAULT
25,45000,RENT,DEBT CONSOLIDATION,A,10000,11.89,5,3,NO DEFAULT
26,70000,MORTGAGE,EDUCATION,A,7000,7.88,6,4,NO DEFAULT
25,70000,MORTGAGE,DEBT CONSOLIDATION,A,14000,10.25,7,4,NO DEFAULT
23,70000,MORTGAGE,PERSONAL,A,3000,7.51,3,4,NO DEFAULT
23,70000,MORTGAGE,VENTURE,A,10000,10.99,3,4,NO DEFAULT
26,45000,RENT,MEDICAL,C,10000,14.11,6,2,NO DEFAULT
24,70000,OWN,EDUCATION,A,15000,12.18,7,2,NO DEFAULT
25,70000,OWN,HOME IMPROVEMENT,A,5000,8.59,5,3,NO DEFAULT
23,23000,RENT,PERSONAL,A,4325,11.11,3,3,NO DEFAULT
23,48000,RENT,VENTURE,A,4325,5.42,3,4,NO DEFAULT
25,23000,RENT,MEDICAL,A,4300,11.86,5,3,NO DEFAULT
24,30000,RENT,MEDICAL,A,4300,9.63,4,4,NO DEFAULT
22,52000,RENT,DEBT CONSOLIDATION,B,4300,10.99,2,2,NO DEFAULT
22,70000,OWN,MEDICAL,A,12000,12.53,7,2,NO DEFAULT
23,108000,RENT,VENTURE,A,4300,11.83,3,4,NO DEFAULT
23,30000,RENT,EDUCATION,A,4275,11.86,3,4,NO DEFAULT
22,27500,RENT,VENTURE,A,4250,10.99,2,2,NO DEFAULT
25,70000,MORTGAGE,HOME IMPROVEMENT,A,16000,12.18,7,4,NO DEFAULT
24,35000,RENT,PERSONAL,A,4250,6.99,4,2,NO DEFAULT
24,70000,OWN,PERSONAL,A,24250,12.18,7,2,NO DEFAULT
23,45600,RENT,MEDICAL,B,4250,10.99,3,2,NO DEFAULT
22,50000,RENT,MEDICAL,A,4250,12.69,2,4,NO DEFAULT
23,70000,MORTGAGE,DEBT CONSOLIDATION,A,15000,11.14,7,4,NO DEFAULT
26,70000,MORTGAGE,HOME IMPROVEMENT,A,12000,8.94,7,2,NO DEFAULT
26,48000,RENT,PERSONAL,A,4225,9.83,6,2,NO DEFAULT
22,70000,MORTGAGE,PERSONAL,C,25000,15.31,7,4,NO DEFAULT
22,70000,MORTGAGE,DEBT CONSOLIDATION,B,15000,13.92,7,2,NO DEFAULT
22,45500,RENT,VENTURE,A,10000,5.99,2,4,NO DEFAULT
26,70000,MORTGAGE,MEDICAL,B,7000,14.26,6,4,NO DEFAULT
24,39600,RENT,HOME IMPROVEMENT,A,10000,10.36,4,3,DEFAULT
24,70000,MORTGAGE,EDUCATION,A,9000,11.83,4,3,NO DEFAULT
24,70000,MORTGAGE,VENTURE,A,10000,7.74,4,3,NO DEFAULT
22,45600,RENT,VENTURE,C,10000,14.61,2,4,NO DEFAULT
23,45756,RENT,MEDICAL,A,10000,7.29,3,2,NO DEFAULT
26,70000,MORTGAGE,PERSONAL,B,5400,12.53,6,4,NO DEFAULT
26,70000,MORTGAGE,HOME IMPROVEMENT,A,12000,11.26,7,4,NO DEFAULT
22,70000,OWN,MEDICAL,A,15000,11.26,7,3,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,20000,12.21,7,4,NO DEFAULT
23,70000,MORTGAGE,VENTURE,B,6000,13.16,3,4,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,C,9600,15.37,2,2,NO DEFAULT
22,46200,RENT,VENTURE,A,10000,7.29,2,3,NO DEFAULT
24,46256,RENT,EDUCATION,A,10000,11.48,4,3,NO DEFAULT
23,46585,RENT,MEDICAL,B,10000,13.57,3,4,NO DEFAULT
23,70000,MORTGAGE,EDUCATION,A,8400,8,3,3,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,D,16000,16.63,7,3,NO DEFAULT
22,70000,MORTGAGE,EDUCATION,C,18000,14.42,7,3,NO DEFAULT
21,30000,RENT,EDUCATION,A,4200,6.92,1,4,NO DEFAULT
25,30000,RENT,MEDICAL,B,4200,12.23,5,4,NO DEFAULT
24,70000,OTHER,PERSONAL,A,9000,9.63,4,2,NO DEFAULT
22,30000,RENT,VENTURE,C,4200,15.31,2,2,DEFAULT
24,70000,MORTGAGE,PERSONAL,A,8950,11.89,4,3,NO DEFAULT
25,31200,RENT,MEDICAL,A,4200,8.9,5,3,NO DEFAULT
22,31200,RENT,VENTURE,B,4200,13.57,2,2,NO DEFAULT
26,34000,RENT,PERSONAL,D,4200,16.82,6,3,DEFAULT
24,70000,MORTGAGE,VENTURE,A,15000,11.46,7,2,NO DEFAULT
26,34400,RENT,MEDICAL,A,4200,8.9,6,3,NO DEFAULT
24,70000,MORTGAGE,MEDICAL,A,7500,8.32,4,2,NO DEFAULT
22,29000,RENT,HOME IMPROVEMENT,A,4200,6.62,2,2,DEFAULT
21,29000,RENT,MEDICAL,C,4200,15.62,1,3,DEFAULT
24,35000,RENT,PERSONAL,A,4200,10.37,4,4,NO DEFAULT
22,29000,RENT,HOME IMPROVEMENT,C,4200,10.99,2,2,DEFAULT
22,36000,RENT,PERSONAL,A,4200,10.99,2,4,NO DEFAULT
21,36895,RENT,MEDICAL,A,4200,9.32,1,3,NO DEFAULT
26,64000,MORTGAGE,DEBT CONSOLIDATION,C,8000,12.17,6,4,DEFAULT
25,36996,RENT,MEDICAL,A,4200,11.11,5,3,NO DEFAULT
24,38400,RENT,VENTURE,A,4200,6.76,4,4,NO DEFAULT
21,40000,RENT,MEDICAL,A,4200,7.51,1,4,NO DEFAULT
25,40000,RENT,EDUCATION,A,4200,9.63,5,2,NO DEFAULT
24,70092,MORTGAGE,DEBT CONSOLIDATION,A,13950,11.14,7,2,NO DEFAULT
23,41000,RENT,EDUCATION,C,4200,14.54,3,3,NO DEFAULT
23,70200,MORTGAGE,MEDICAL,A,5000,7.14,3,2,NO DEFAULT
24,42000,RENT,EDUCATION,A,4200,7.9,4,2,NO DEFAULT
25,70224,MORTGAGE,EDUCATION,B,21000,13.22,7,4,NO DEFAULT
23,70236,MORTGAGE,EDUCATION,B,8700,13.47,3,4,NO DEFAULT
22,36000,RENT,MEDICAL,A,4200,9.91,2,2,DEFAULT
25,36499,RENT,HOME IMPROVEMENT,A,4200,10.99,5,4,DEFAULT
22,70404,MORTGAGE,EDUCATION,C,14075,14.74,7,4,NO DEFAULT
25,37000,RENT,DEBT CONSOLIDATION,E,4200,10.99,5,2,DEFAULT
24,47500,RENT,PERSONAL,A,4200,8.9,4,4,NO DEFAULT
23,70500,OWN,EDUCATION,B,10500,13.92,7,4,NO DEFAULT
26,48000,RENT,MEDICAL,A,4200,6.92,6,3,NO DEFAULT
23,70572,MORTGAGE,EDUCATION,A,14500,5.99,7,3,NO DEFAULT
22,70600,MORTGAGE,MEDICAL,B,7450,13.06,2,4,NO DEFAULT
26,55080,MORTGAGE,MEDICAL,A,2500,7.66,6,3,DEFAULT
26,70800,MORTGAGE,EDUCATION,A,8500,6.54,6,3,NO DEFAULT
23,70800,MORTGAGE,EDUCATION,C,9600,10.99,3,4,NO DEFAULT
26,70885,MORTGAGE,DEBT CONSOLIDATION,A,1000,6.39,6,4,NO DEFAULT
24,55243,MORTGAGE,MEDICAL,A,2900,9.62,4,2,DEFAULT
26,53000,RENT,EDUCATION,B,4200,14.22,6,4,NO DEFAULT
25,71000,MORTGAGE,DEBT CONSOLIDATION,A,7200,6.62,5,4,NO DEFAULT
23,55000,RENT,MEDICAL,A,4200,9.91,3,3,NO DEFAULT
23,71000,MORTGAGE,EDUCATION,A,9600,7.51,3,4,NO DEFAULT
25,65000,MORTGAGE,PERSONAL,A,6000,8.9,5,2,DEFAULT
26,71000,MORTGAGE,DEBT CONSOLIDATION,A,4400,5.42,6,4,NO DEFAULT
23,71000,MORTGAGE,DEBT CONSOLIDATION,A,7500,9.99,3,3,NO DEFAULT
25,71000,MORTGAGE,VENTURE,B,4800,13.49,5,3,NO DEFAULT
21,71000,MORTGAGE,VENTURE,A,6000,10.99,1,4,NO DEFAULT
22,71000,MORTGAGE,VENTURE,B,1500,15.23,2,2,NO DEFAULT
23,54000,RENT,MEDICAL,A,4200,10.99,3,2,DEFAULT
26,71000,MORTGAGE,HOME IMPROVEMENT,C,6000,15.62,6,3,NO DEFAULT
24,71000,OWN,PERSONAL,A,14000,10.99,7,3,NO DEFAULT
23,61000,RENT,PERSONAL,A,4200,6.03,3,4,NO DEFAULT
